"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"468727 (2010 JE87)",0.9042,0.4370,16.91,120.47,242.31,0.509,1.30,0.86,4392,0,190,0,2,20.77
"469445 (2002 LT24)",0.7201,0.4958,0.77,165.65,283.09,0.363,1.08,0.611,8065,0,287,,,22.14
"469494 (2002 XS40)",1.498,0.3382,11.63,97.59,83.83,0.991,2.00,1.83,8268,0,391,,,20.09
"469513 (2003 QR79)",1.278,0.3055,17.16,333.01,103.20,0.888,1.67,1.45,4968,0,264,,,20.87
"471083 (2009 XF2)",1.286,0.2469,14.01,88.46,113.44,0.968,1.60,1.46,5774,0,174,,,19.98
"471241 (2011 BX18)",2.865,0.7321,14.70,310.41,304.52,0.768,4.96,4.85,3932,0,2099,1,0,18.58
"474425 (2002 YF4)",1.755,0.3339,33.68,61.65,93.58,1.169,2.34,2.32,8309,0,376,,,18.84
"474549 (2003 WX153)",2.186,0.6029,32.54,91.35,63.16,0.868,3.50,3.23,6082,0,713,,,18.07
"475016 (2005 UO)",1.351,0.5826,7.70,19.09,258.66,0.564,2.14,1.57,4033,0,124,,,22.06
"475950 (2007 FE1)",2.017,0.5488,9.85,44.72,193.23,0.910,3.12,2.86,6140,0,133,,,18.85
"476438 (2008 EB9)",1.563,0.2172,21.35,341.66,251.47,1.223,1.90,1.95,6057,0,331,,,20.34
"477490 (2010 CG18)",1.439,0.2261,10.15,78.78,351.62,1.113,1.76,1.73,5217,0,299,,,20.59
"477491 (2010 CD19)",2.258,0.5787,20.75,309.39,132.64,0.951,3.56,3.39,3681,0,204,,,17.99
"477519 (2010 DJ56)",1.25,0.2453,34.84,149.91,309.29,0.943,1.56,1.4,7818,0,224,,,19.15
"477524 (2010 EH43)",1.278,0.0441,37.54,5.40,196.10,1.222,1.33,1.44,4818,0,326,,,18.67
"477588 (2010 JD87)",1.428,0.6395,24.62,338.33,148.61,0.515,2.34,1.71,4167,0,94,,,19.39
"477762 (2010 XZ67)",2.06,0.4943,11.85,280.19,169.17,1.042,3.08,2.96,4515,0,630,3,1,19.74
"480936 (2003 QH5)",1.26,0.2201,17.62,299.20,321.20,0.982,1.54,1.41,7437,0,265,1,0,20.26
"481327 (2006 BB27)",1.362,0.2457,27.16,132.16,144.68,1.027,1.70,1.59,6994,0,179,,,19.90
"482054 (2010 AE)",1.489,0.3770,15.98,294.47,270.86,0.927,2.05,1.82,7341,0,320,,,19.47
"482055 (2010 AH30)",2.288,0.5501,43.35,104.39,118.83,1.030,3.55,3.46,5300,0,271,,,18.50
"482111 (2010 NT1)",1.458,0.2179,39.53,283.25,306.32,1.141,1.78,1.76,4984,0,150,,,19.43
"483508 (2003 CR1)",1.453,0.4629,12.72,310.93,101.98,0.780,2.13,1.75,7728,0,281,,,20.02
"484402 (2007 XH16)",1.187,0.2349,27.43,91.27,58.33,0.908,1.47,1.29,6490,0,462,1,1,19.68
"485110 (2010 HZ108)",1.249,0.2086,22.88,173.98,106.69,0.988,1.51,1.4,5274,0,107,,,20.93
"488494 (2000 JA3)",2.256,0.4557,10.20,119.54,151.42,1.228,3.28,3.39,8952,0,471,,,18.74
"488789 (2004 XK50)",1.451,0.6886,38.23,94.05,104.01,0.452,2.45,1.75,5123,0,164,,,19.13
"488803 (2005 GB120)",0.7912,0.3947,9.15,160.86,243.83,0.479,1.10,0.704,6988,0,239,,,20.48
"489203 (2006 JT)",2.403,0.4783,36.38,20.88,162.61,1.254,3.55,3.72,5409,0,71,,,18.65
"490581 (2009 WZ104)",0.8555,0.1926,9.84,263.23,10.59,0.691,1.02,0.791,7013,0,1209,0,1,20.85
"492478 (2014 NB39)",1.675,0.6860,17.02,218.44,179.67,0.526,2.82,2.17,3980,0,89,,,19.71
"495858 (2003 MJ4)",2.303,0.5619,5.31,77.37,271.83,1.009,3.60,3.49,7880,0,729,,,18.82
"496174 (2011 CQ4)",2.002,0.5832,23.74,85.97,86.46,0.834,3.17,2.83,4998,0,224,,,18.46
"496816 (1989 UP)",1.861,0.4723,3.85,53.15,17.84,0.982,2.74,2.54,12162,0,368,0,1,20.54
"496817 (1989 VB)",1.862,0.4602,2.18,37.83,330.93,1.005,2.72,2.54,12109,0,308,4,2,19.99
"496837 (1998 SB15)",1.226,0.1614,15.63,6.74,67.70,1.028,1.42,1.36,8352,0,376,,,20.83
"496962 (2002 GP186)",1.285,0.3311,8.11,31.17,24.85,0.859,1.71,1.46,8100,0,119,,,20.31
"498066 (2007 RM133)",2.21,0.4413,10.76,106.04,181.28,1.235,3.19,3.29,5700,0,1777,,,18.55
"498143 (2007 TR65)",1.154,0.5615,43.48,23.74,215.75,0.506,1.80,1.24,5525,0,244,,,18.80
"499490 (2010 MW)",2.277,0.4713,21.35,246.24,105.60,1.204,3.35,3.44,5303,0,188,,,18.98
"499496 (2010 MR87)",1.734,0.3907,34.99,195.26,132.49,1.056,2.41,2.28,5881,0,242,,,19.49
"499582 (2010 TH19)",1.464,0.3101,6.83,254.20,201.50,1.010,1.92,1.77,5052,0,261,,,20.53
"501878 (2014 WF365)",2.264,0.7616,17.82,165.68,15.23,0.540,3.99,3.41,6262,0,238,,,17.25
"503941 (2003 UV11)",1.454,0.7627,5.93,31.77,124.94,0.345,2.56,1.75,10250,0,1084,8,6,19.62
"504800 (2010 CO1)",1.013,0.2179,24.02,351.55,252.72,0.792,1.23,1.02,3592,0,158,,,21.48
"504827 (2010 KZ117)",2.272,0.5112,33.19,314.09,321.48,1.111,3.43,3.42,2722,0,106,,,19.09
"504994 (2011 JU2)",2.014,0.4603,56.10,47.22,301.29,1.087,2.94,2.86,2370,0,130,,,18.41
"505093 (2011 VQ5)",2.061,0.4368,7.19,30.26,89.60,1.161,2.96,2.96,5696,0,487,,,20.20
"505657 (2014 SR339)",1.299,0.3038,29.80,138.74,299.65,0.905,1.69,1.48,3543,0,1632,5,1,18.48
"505667 (2014 UV33)",2.016,0.4139,8.86,115.67,335.32,1.182,2.85,2.86,10037,0,723,,,17.82
"506074 Svarog (2015 UM67)",1.558,0.6874,6.01,150.01,132.28,0.487,2.63,1.94,3446,0,645,,,18.90
"506590 (2005 XB1)",1.131,0.4188,8.71,73.31,232.95,0.658,1.61,1.2,6577,0,132,,,21.97
"510055 (2010 FH81)",1.225,0.2104,16.80,84.60,158.32,0.968,1.48,1.36,5665,0,102,,,21.51
"510073 (2010 JF88)",2.232,0.6586,17.31,115.63,212.10,0.762,3.70,3.33,3876,0,244,,,18.56
"510262 (2011 HJ61)",1.484,0.4176,21.08,216.04,191.05,0.864,2.10,1.81,6620,0,192,,,19.20
"511008 (2013 PX6)",2.597,0.6514,13.66,187.35,229.74,0.905,4.29,4.18,2998,0,451,,,18.55
"511243 (2014 BS32)",1.576,0.2170,11.64,334.91,271.33,1.234,1.92,1.98,5159,0,385,,,18.90
"511684 (2015 BN509)",1.007,0.5684,4.16,120.06,143.22,0.435,1.58,1.01,7020,0,580,5,2,20.78
"511777 (2015 EZ)",1.364,0.2837,13.21,185.39,65.21,0.977,1.75,1.59,6958,0,849,,,20.14
"511808 (2015 FH120)",2.038,0.6097,11.09,71.43,15.46,0.795,3.28,2.91,3331,0,2309,,,18.67
"513550 (2010 NG3)",2.61,0.5698,26.66,63.73,195.52,1.123,4.10,4.22,17269,0,378,,,17.18
"514041 (2014 MQ18)",2.901,0.5986,35.07,347.21,333.08,1.164,4.64,4.94,7598,0,535,,,15.68
"514652 (2005 SC71)",1.91,0.3828,32.38,196.49,117.88,1.179,2.64,2.64,6414,0,230,,,18.31
"515049 (2010 FL)",1.917,0.6565,11.39,66.55,214.21,0.659,3.18,2.66,5854,0,182,,,19.31
"516803 (2010 JG88)",1.374,0.3845,30.61,213.33,106.08,0.846,1.90,1.61,3111,0,226,,,19.51
"516984 (2012 PN28)",1.78,0.5316,24.48,319.03,174.92,0.834,2.73,2.38,5197,0,177,,,18.26
"518507 (2006 EE1)",1.203,0.2764,36.40,154.21,278.04,0.870,1.54,1.32,5866,0,270,,,19.94
"518810 (2010 CF19)",1.193,0.2699,7.18,154.70,265.32,0.871,1.52,1.3,3020,0,180,0,1,21.85
"520808 (2014 TF64)",1.613,0.4180,52.67,217.96,114.24,0.939,2.29,2.05,3716,0,236,,,20.01
"523589 (2001 HA4)",2.69,0.7934,17.18,353.95,95.72,0.556,4.82,4.41,8073,0,243,,,17.79
"523595 (2002 OS4)",1.924,0.4536,26.81,289.41,102.23,1.051,2.80,2.67,7138,0,786,,,18.37
"523631 (2009 SX1)",1.722,0.4473,8.29,335.01,115.40,0.952,2.49,2.26,6587,0,882,,,18.94
"523632 (2009 UX17)",1.189,0.0835,10.80,216.08,278.62,1.090,1.29,1.3,4914,0,341,,,21.51
"523636 (2010 EX119)",1.905,0.5939,15.52,211.73,22.46,0.774,3.04,2.63,4987,0,105,,,19.42
"523637 (2010 LT108)",1.349,0.3708,31.87,161.12,9.48,0.849,1.85,1.57,5105,0,99,,,19.53
"523664 (2012 OD1)",0.8288,0.5029,42.26,303.72,224.36,0.412,1.25,0.754,4441,0,1136,5,0,18.52
"523747 (2014 US192)",2.205,0.7585,14.65,175.00,340.63,0.533,3.88,3.27,5054,0,223,,,18.82
"523775 (2014 YB35)",1.877,0.4831,12.63,3.69,188.66,0.970,2.78,2.57,3157,0,745,1,2,19.11
"523816 (2009 ST103)",2.7,0.7185,15.73,226.43,234.69,0.760,4.64,4.44,8057,0,153,,,18.14
"523826 (1990 UP)",1.33,0.1708,28.22,33.18,294.21,1.103,1.56,1.53,12577,0,182,,,20.34
"529668 (2010 JL33)",2.677,0.7348,5.38,52.46,309.88,0.710,4.64,4.38,9721,0,757,3,1,17.89
"529718 (2010 KY127)",2.491,0.8826,60.75,6.85,357.16,0.292,4.69,3.93,4614,0,83,,,16.83
"529720 (2010 LM14)",1.111,0.3794,25.92,176.64,187.93,0.689,1.53,1.17,5385,0,60,,,21.29
"529753 (2010 MF1)",2.499,0.5882,9.10,286.93,27.83,1.029,3.97,3.95,4562,0,680,,,19.65
"529819 (2010 PM58)",1.371,0.4597,13.59,332.35,53.83,0.741,2.00,1.61,3149,1,38,,,20.86
"530531 (2011 OL5)",1.222,0.1586,15.73,105.67,64.96,1.028,1.42,1.35,4417,0,636,,,20.24
"530871 (2011 WS2)",1.009,0.7433,46.80,326.72,307.68,0.259,1.76,1.01,4024,1,127,,,17.25
"530938 (2011 XE)",0.7839,0.4634,20.72,221.24,46.64,0.421,1.15,0.694,6848,0,296,,,19.30
"532874 (2013 YZ13)",1.391,0.2617,31.22,288.39,235.52,1.027,1.75,1.64,8417,0,291,0,1,19.64
"533722 (2014 NE52)",2.385,0.6585,3.86,54.52,337.62,0.815,3.96,3.68,4094,0,317,,,18.20
"534676 (2014 VK2)",1.838,0.6040,16.37,63.25,232.12,0.728,2.95,2.49,3707,0,280,,,18.53
"535148 (2014 XR6)",2.587,0.5325,27.13,67.94,70.80,1.210,3.96,4.16,4236,0,330,,,18.38
"537829 (2015 XY378)",0.7102,0.4893,13.92,1.20,265.69,0.363,1.06,0.598,3277,1,158,,,19.51
"538212 (2016 CA136)",2.031,0.7812,1.26,239.74,125.00,0.445,3.62,2.89,3573,0,296,,,19.35
"612929 (2005 CR37)",1.905,0.4686,26.05,335.51,209.79,1.012,2.80,2.63,6048,0,230,2,1,18.90
"613726 (2007 EF)",0.8203,0.4101,21.73,158.33,226.04,0.484,1.16,0.743,5538,0,120,,,21.34
"613939 (2008 CH116)",0.6628,0.5875,20.37,85.89,248.18,0.273,1.05,0.54,5916,0,155,,,19.25
"613995 (2008 NP3)",1.005,0.3340,1.43,78.33,328.19,0.669,1.34,1.01,6136,0,114,,,22.85
"614316 (2008 YZ32)",1.038,0.6205,16.54,105.19,224.47,0.394,1.68,1.06,5872,0,227,,,20.25
"614521 (2009 UK)",1.977,0.4830,3.53,165.49,309.49,1.022,2.93,2.78,14385,0,245,,,19.92
"614599 (2010 AB78)",2.256,0.5454,33.27,316.80,296.60,1.026,3.49,3.39,6472,0,177,,,18.31
"614603 (2010 CM)",2.628,0.5299,7.43,124.95,94.41,1.236,4.02,4.26,7619,0,128,,,18.52
"614643 (2010 GH65)",2.717,0.6084,20.84,42.40,228.65,1.064,4.37,4.48,6618,0,98,,,18.87
"618348 (2016 PN)",0.8587,0.3323,21.60,126.04,23.68,0.573,1.14,0.796,4404,0,315,,,20.22
"620091 (2015 FD341)",0.9552,0.6751,20.54,7.51,67.03,0.310,1.60,0.934,4372,1,103,,,17.87
"620094 (2016 AJ193)",3.262,0.8161,22.57,331.10,82.20,0.600,5.92,5.89,4417,0,467,4,2,18.98
"666241 (2010 BK2)",0.9043,0.4479,6.05,278.00,72.66,0.499,1.31,0.86,4831,0,85,,,22.04
"675481 (2015 XL128)",2.574,0.7020,17.94,42.17,161.28,0.767,4.38,4.13,10444,0,231,,,17.82
"676261 (2016 EE156)",2.577,0.8113,29.01,134.05,175.73,0.486,4.67,4.14,3236,0,360,,,17.89
"676362 (2016 FG15)",2.498,0.6945,16.62,72.48,183.79,0.763,4.23,3.95,2936,0,157,,,19.96
"706765 (2010 TK7)",0.9986,0.1903,20.91,96.42,46.06,0.809,1.19,0.998,4115,0,153,,,20.78
"723661 (2007 ES)",1.57,0.5951,35.19,334.50,19.34,0.636,2.50,1.97,6571,1,87,,,18.84
"726196 (2009 UP1)",1.516,0.4031,17.27,237.09,195.87,0.905,2.13,1.87,5483,0,131,,,20.02
"738442 (2016 SG1)",2.13,0.6964,36.42,175.49,354.44,0.647,3.61,3.11,5842,0,193,,,17.23
"741537 (2006 HV5)",0.8425,0.3156,32.02,35.94,317.51,0.577,1.11,0.773,6219,0,393,7,2,19.41
"749081 (2014 EZ48)",2.255,0.5639,25.51,178.75,82.05,0.983,3.53,3.39,3836,0,600,,,18.93
"749593 (2014 NE3)",1.216,0.3151,25.87,120.33,278.72,0.833,1.60,1.34,4624,0,261,,,20.04
"750500 (2014 VL6)",1.243,0.3291,6.09,38.84,279.94,0.834,1.65,1.39,6807,0,231,,,21.38
"753131 (2015 WH13)",2.491,0.7992,10.96,280.82,25.93,0.500,4.48,3.93,3218,0,451,,,18.87
"778852 (2011 AM24)",1.177,0.1488,9.14,127.11,215.28,1.001,1.35,1.28,5228,0,959,4,0,20.47
"786229 (2015 XD130)",1.482,0.4633,32.98,253.55,297.87,0.796,2.17,1.81,6857,0,510,,,19.49
"828534 (2004 TG10)",2.237,0.8611,4.19,204.84,317.64,0.311,4.16,3.35,7331,0,119,,,19.47
"831781 (2009 WF106)",2.115,0.7096,36.87,76.59,102.46,0.614,3.62,3.08,4607,0,139,,,19.77
"832994 (2010 GW62)",1.27,0.5755,32.43,99.25,352.52,0.539,2.00,1.43,5578,0,148,,,19.36
"833009 (2010 GR75)",1.726,0.6364,17.80,118.51,0.03,0.628,2.82,2.27,5586,0,139,,,19.64
"833459 (2010 JM151)",1.698,0.4817,16.66,305.99,343.60,0.880,2.52,2.21,4197,0,109,,,19.72
"841631 (2015 OS35)",2.253,0.5204,18.52,276.01,76.49,1.080,3.42,3.38,3681,0,183,,,19.00
"841703 (2015 PD)",1.848,0.6357,12.09,242.78,165.68,0.673,3.02,2.51,5464,0,144,,,19.25
"842528 (2015 WV1)",3.011,0.5685,23.67,320.31,127.53,1.299,4.72,5.23,7703,0,652,,,17.33
"843003 (2016 BX14)",2.057,0.5200,4.44,102.29,108.13,0.987,3.13,2.95,3490,0,488,,,20.87
"843651 (2016 LE9)",2.137,0.7575,15.32,215.46,181.51,0.518,3.75,3.12,3299,0,475,,,17.72
"       (1996 GQ)",1.99,0.4947,0.88,85.28,59.24,1.005,2.97,2.81,10114,0,97,,,23.19
"       (1998 KY26)",1.229,0.2001,1.49,84.18,210.00,0.983,1.47,1.36,9472,2,85,2,2,25.70
"       (1998 SH2)",2.743,0.7139,2.43,6.08,268.72,0.785,4.70,4.54,9875,0,361,,,20.89
"       (1998 WB2)",1.972,0.5866,2.37,52.12,78.85,0.815,3.13,2.77,9147,0,316,3,0,21.85
"       (1999 XK136)",2.384,0.7028,2.66,63.32,302.91,0.708,4.06,3.68,8088,0,152,,,20.56
"       (2000 AA6)",1.286,0.5194,2.03,279.69,287.77,0.618,1.95,1.46,6943,0,151,,,22.44
"       (2000 AG205)",2.294,0.5194,18.39,269.57,249.34,1.102,3.49,3.47,7742,0,107,,,19.58
"       (2000 GW127)",2.247,0.7272,6.65,127.10,332.81,0.613,3.88,3.37,6245,0,104,,,19.40
"       (2000 RE52)",1.154,0.2478,18.46,344.14,258.19,0.868,1.44,1.24,3478,1,107,,,22.33
"       (2001 SJ262)",2.95,0.5741,10.80,210.40,164.88,1.256,4.64,5.07,1865,0,117,,,19.90
"       (2002 AO11)",0.9172,0.1621,13.06,294.98,305.95,0.769,1.07,0.878,5114,2,23,,,23.05
"       (2002 BF25)",1.075,0.2215,6.31,305.77,77.89,0.837,1.31,1.11,7315,0,147,4,0,22.62
"       (2002 BM26)",1.832,0.4448,16.22,319.58,180.55,1.017,2.65,2.48,1829,0,243,2,2,20.10
"       (2002 CT46)",2.37,0.5249,15.68,157.22,356.92,1.126,3.61,3.65,83,5,117,,,20.80
"       (2002 CX58)",2.852,0.6444,2.48,106.57,80.13,1.014,4.69,4.82,5258,0,195,2,1,22.30
"       (2002 JR100)",0.9237,0.2989,3.71,202.25,254.26,0.648,1.20,0.888,6287,0,149,,,24.30
"       (2003 CC11)",3.149,0.5877,11.51,135.40,359.79,1.298,5.00,5.59,7944,0,100,,,19.09
"       (2003 RW11)",2.629,0.8250,10.34,170.47,53.91,0.460,4.80,4.26,4758,0,165,,,18.70
"       (2003 SS214)",2.365,0.5360,8.11,211.97,194.95,1.097,3.63,3.64,4135,0,128,,,20.00
"       (2004 BZ74)",3.061,0.8891,17.06,230.06,124.85,0.340,5.78,5.36,5853,0,169,,,18.27
"       (2004 MX2)",2.763,0.7183,18.09,116.14,243.79,0.778,4.75,4.59,5321,0,116,,,19.30
"       (2004 SC56)",0.7676,0.4284,4.78,201.80,322.97,0.439,1.10,0.673,2167,1,168,,,22.70
"       (2004 XK14)",0.7485,0.4339,3.10,306.79,303.22,0.424,1.07,0.648,4758,0,152,,,22.44
"       (2005 QL)",2.446,0.5019,10.72,104.95,290.70,1.218,3.67,3.82,6980,0,100,,,18.79
"       (2006 KL89)",2.76,0.5384,13.74,83.96,155.69,1.274,4.25,4.58,6538,0,190,,,18.64
"       (2006 OF5)",2.756,0.5375,10.17,137.29,195.01,1.275,4.24,4.57,6530,0,251,,,19.17
"       (2006 OG15)",2.542,0.6303,17.13,118.18,265.21,0.940,4.14,4.05,3120,0,113,,,19.82
"       (2006 UR217)",2.746,0.6084,17.60,64.08,305.19,1.075,4.42,4.55,6638,0,187,,,19.84
"       (2007 RU10)",2.271,0.6874,15.42,324.14,134.03,0.710,3.83,3.42,6421,0,88,,,19.20
"       (2007 VG189)",2.15,0.5128,6.02,249.98,71.53,1.047,3.25,3.15,3062,0,349,,,19.51
"       (2007 WE55)",1.909,0.5732,11.48,303.82,206.00,0.815,3.00,2.64,2924,0,88,,,20.06
"       (2007 YZ)",1.043,0.3612,16.42,90.63,129.72,0.666,1.42,1.06,6497,0,750,,,19.52
"       (2008 QS11)",1.861,0.4826,12.48,11.49,30.76,0.963,2.76,2.54,2016,0,403,4,3,19.93
"       (2008 US4)",2.336,0.6326,13.18,31.14,72.83,0.858,3.81,3.57,2731,0,231,,,20.96
"       (2008 WB59)",1.045,0.1881,25.65,60.48,188.87,0.848,1.24,1.07,5888,0,434,,,19.18
"       (2009 FY4)",1.013,0.3274,20.98,162.61,244.68,0.681,1.34,1.02,1087,1,204,,,21.00
"       (2009 SP)",2.219,0.4950,25.27,177.94,256.33,1.121,3.32,3.31,3839,0,135,,,19.40
"       (2009 UY19)",1.023,0.0308,9.05,33.01,99.96,0.992,1.05,1.04,186,2,192,,,23.43
"       (2009 WA)",1.136,0.1448,29.84,47.53,71.13,0.971,1.30,1.21,4431,0,74,,,21.19
"       (2009 XD)",2.451,0.6732,31.45,255.87,269.25,0.801,4.10,3.84,1403,0,278,,,18.78
